,Artist,Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Channel,Views,Likes,Licensed,Stream
8462,David Bisbal,Resistiré,0.704,0.764,4.0,-6.508,0.026,0.167,0.0,0.235,0.709,100.018,285611.0,Resistiré 2020 - Video Oficial,Warner Music Spain,73742646.0,694375.0,True,42652491.0
8463,David Bisbal,A Contracorriente,0.73,0.743,5.0,-5.858,0.0381,0.117,0.0,0.234,0.964,95.023,194824.0,"Alvaro Soler, David Bisbal - A Contracorriente",AlvaroSolerVEVO,18538286.0,136469.0,True,30864351.0
8464,David Bisbal,Ave María,0.734,0.93,3.0,-4.475,0.0763,0.136,0.0,0.316,0.797,132.03,209947.0,David Bisbal - Ave María,DavidBisbalVEVO,35313953.0,214161.0,True,54207725.0
8465,David Bisbal,Diez Mil Maneras,0.651,0.82,0.0,-4.642,0.0316,0.321,0.0,0.0921,0.718,153.958,213060.0,David Bisbal - Diez Mil Maneras (pseudo),DavidBisbalVEVO,40048571.0,148387.0,True,94466341.0
8466,David Bisbal,"Vuelve, Vuelve",0.695,0.65,9.0,-5.47,0.107,0.228,0.0,0.129,0.475,92.871,166333.0,"David Bisbal, Danna Paola - Vuelve, Vuelve",DavidBisbalVEVO,48152442.0,476349.0,True,53094517.0
8467,Booba,Zénith (feat. Booba),0.704,0.414,9.0,-8.98,0.0444,0.858,0.0,0.0992,0.244,121.997,204590.0,mademoiselle lou - Zénith feat. Booba (Visualizer),mademoiselle lou,757000.0,19703.0,True,1681543.0
8468,Booba,Téléphone,0.813,0.528,7.0,-5.659,0.0315,0.131,0.0,0.203,0.276,112.016,212035.0,Booba - Téléphone feat. Sfera Ebbasta (Lyrics Video),B20baOfficiel,2642863.0,46582.0,False,13599840.0
8469,Booba,Mona Lisa,0.784,0.529,11.0,-7.681,0.0742,0.683,0.0,0.118,0.246,134.041,187362.0,Booba - Mona Lisa Feat. JSX (Clip Officiel),B20baOfficiel,82269563.0,384211.0,False,74221307.0
8470,Booba,KOA,0.789,0.641,2.0,-5.402,0.124,0.156,0.143,0.162,0.319,125.016,187791.0,Booba - KOA (Lyrics Video),B20baOfficiel,5486940.0,79777.0,False,8198481.0
8471,Booba,Caméléon,0.454,0.71,10.0,-5.15,0.219,0.403,0.0,0.143,0.419,86.588,198180.0,Timal feat. Booba - Caméléon (Clip Officiel),Timal Official,6419980.0,62675.0,False,9999085.0
8472,Booba,Scarface,0.65,0.731,11.0,-6.753,0.0387,0.465,0.0222,0.323,0.478,137.99,253587.0,Booba - Scarface (Clip Officiel),B20baOfficiel,44533542.0,172829.0,False,36048454.0
8473,Booba,92i veyron,0.801,0.674,6.0,-5.576,0.134,0.27,0.0,0.0758,0.453,122.978,217893.0,Booba - 92i Veyron (Clip Officiel),B20baOfficiel,90075039.0,454202.0,False,55556290.0
8474,Booba,Validée,0.644,0.815,6.0,-6.011,0.0708,0.145,0.0125,0.116,0.795,203.916,205893.0,Booba feat. Benash - Validée (Clip Officiel),B20baOfficiel,59444117.0,219034.0,False,62240663.0
8475,Booba,Petite fille,0.795,0.459,10.0,-7.607,0.0421,0.944,0.000637,0.192,0.426,119.959,215453.0,Booba - Petite Fille (Clip Officiel),B20baOfficiel,77810161.0,528113.0,False,55217713.0
8476,Booba,Ridin',0.757,0.708,0.0,-3.927,0.0443,0.307,2.98e-05,0.112,0.5,138.991,211453.0,Ridin',Booba - Topic,5897056.0,33621.0,True,33333568.0
8477,Gloria Trevi,No Querías Lastimarme,0.376,0.695,5.0,-3.683,0.0795,0.168,9.24e-06,0.0954,0.328,70.168,224333.0,Gloria Trevi - No Querías Lastimarme,GloriaTreviVEVO,604892528.0,1505102.0,True,141353319.0
8478,Gloria Trevi,Con los Ojos Cerrados,0.81,0.502,4.0,-10.258,0.0701,0.383,0.0,0.116,0.264,115.164,215640.0,"Gloria Trevi ""Con Los Ojos Cerrados""",GloriaTrevi,56765505.0,172684.0,False,117333020.0
8479,Gloria Trevi,Resistiré,0.45,0.878,9.0,-4.592,0.0827,0.0071,0.0,0.0908,0.744,199.844,252443.0,Resistiré México (Video Oficial),Warner Music México,15922784.0,260405.0,True,48533462.0
8480,Gloria Trevi,Todos Me Miran,0.745,0.844,3.0,-6.709,0.0609,0.0216,0.0,0.0617,0.829,125.042,204907.0,Gloria Trevi - Todos Me Miran (Videoclip Oficial),GloriaTrevi,89616133.0,474042.0,False,87823390.0
8481,Gloria Trevi,El Recuento de los Daños,0.474,0.306,0.0,-10.236,0.0978,0.808,0.0,0.116,0.663,204.401,235200.0,"Gloria Trevi ""El Recuento De Los Daños""",GloriaTrevi,16063964.0,54754.0,False,82017541.0
8482,Gloria Trevi,Vestida De Azúcar,0.549,0.709,10.0,-4.526,0.0309,0.296,0.0,0.0741,0.756,140.018,245693.0,Gloria Trevi - Vestida De Azúcar,GloriaTreviVEVO,238829463.0,484252.0,True,60283856.0
8483,Gloria Trevi,El Favor De La Soledad,0.415,0.734,8.0,-4.741,0.0346,0.259,0.0,0.213,0.713,209.774,235267.0,Gloria Trevi - El Favor De La Soledad,GloriaTreviVEVO,141463740.0,273530.0,True,44411623.0
8484,Gloria Trevi,Cinco Minutos,0.716,0.945,6.0,-3.894,0.0527,0.215,0.0,0.1,0.853,131.973,207800.0,Gloria Trevi - Cinco Minutos,GloriaTreviVEVO,53094145.0,107226.0,True,41744606.0
8485,Gloria Trevi,Dr. Psiquiatra,0.944,0.623,0.0,-11.456,0.112,0.157,0.023,0.292,0.651,131.034,221600.0,Gloria Trevi Dr Psiquiatra,GloriaTreviOfficial,14725678.0,59811.0,False,52608089.0
8486,Gloria Trevi,Hijoepu*#,0.849,0.742,3.0,-4.261,0.151,0.0236,0.000164,0.102,0.912,92.987,188080.0,"Gloria Trevi, KAROL G - Hijoepu*# (Official Video)",KarolGVEVO,139245633.0,958393.0,True,40969564.0
8487,Keith Urban,Brown Eyes Baby,0.521,0.833,8.0,-6.992,0.0313,0.0906,3.13e-06,0.0647,0.581,141.944,224985.0,Keith Urban - Brown Eyes Baby (Official Lyric Video),Keith Urban,175424.0,3374.0,False,16008346.0
8488,Keith Urban,Somebody Like You,0.624,0.84,4.0,-5.768,0.0337,0.108,0.000546,0.144,0.656,111.02,323040.0,Keith Urban - Somebody Like You (Official Music Video),KeithUrbanVEVO,32310912.0,184911.0,True,181326414.0
8489,Keith Urban,One Too Many,0.697,0.535,4.0,-6.504,0.068,0.247,0.0,0.569,0.594,82.959,203893.0,Keith Urban - One Too Many with P!nk (Official Music Video),KeithUrbanVEVO,43538459.0,292795.0,True,172787052.0
8490,Keith Urban,Blue Ain't Your Color,0.69,0.416,7.0,-7.865,0.0335,0.617,1.37e-06,0.102,0.479,82.45,230600.0,Keith Urban - Blue Ain't Your Color (Official Music Video),KeithUrbanVEVO,364955470.0,1491329.0,True,256456321.0
8491,Keith Urban,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),0.588,0.608,5.0,-7.062,0.0365,0.225,0.0,0.092,0.508,90.201,189496.0,That’s When (Taylor’s Version) (From The Vault) (Lyric Video),TaylorSwiftVEVO,3877425.0,114176.0,True,46419774.0
8492,Keith Urban,The Fighter,0.681,0.845,11.0,-5.147,0.0525,0.0304,0.0,0.197,0.761,132.023,184040.0,Keith Urban - The Fighter ft. Carrie Underwood (Official Music Video),KeithUrbanVEVO,114590004.0,481906.0,True,157497695.0
